date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2017-04-19,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,NETSPEND CORPORATION,NH,038XX,Older American,,Web,2017-04-21,Closed with explanation,true,No,2442917
2017-04-21,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",DC,200XX,,,Web,2017-04-21,Closed with explanation,true,No,2447351
2017-03-04,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",NJ,07843,,Consent not provided,Web,2017-03-04,Closed with non-monetary relief,true,No,2371789
2017-03-10,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98532,"Older American, Servicemember",N/A,Fax,2017-03-14,Closed with explanation,true,No,2381695
2017-04-03,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98052,,N/A,Referral,2017-04-04,Closed with explanation,true,No,2416625
2017-03-04,Bank account or service,Other bank product/service,Using a debit or ATM card,,,,Comerica,NC,28405,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371634
2017-04-05,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20746,,N/A,Referral,2017-04-06,Closed with non-monetary relief,true,No,2421775
2017-03-04,Credit card,,Balance transfer,,"Around XX/XX/XXXX I accepted a credit card offer from my Chase AARP card at a 0 % interest for a year with a 2 % transfer fee. Needing the money, I called Chase and asked them to deposit XXXX into my checking account and, shortly there after, they did so. Now, they are wanting the XXXX. back from my checking account. They say it was their error but they should n't have deposited the money because that checking account has n't been used to pay a Chase fee within 3 months, so could n't be approved for the transfer.. I had XXXX balances so there was no need to make a payment. They made this decision after they deposited the money into my account.They say they will pay the bank fees but where am I supposed to get the XXXX?. I do not have all of the XXXX left and what is there is allocated for checks and payments that have not cleared yet. I accepted their offer and borrowed this money in good faith and have spent many hours on the phone with various Chase reps and am that the account is active, has XXXX available credit, but they can not assign the money already borrowed to that account because it was n't used for 3 months. Surely they can lift the rule to cover their error, but they wo n't. The woman, who said she was a manager, gave me the fax number of Chase Executive Offices as my only recourse. So, I am contacting you. This is an AARP card, available only to XXXX. They are causing havoc in my life and do not care at all. Please help",,JPMORGAN CHASE & CO.,TN,376XX,Older American,Consent provided,Web,2017-03-04,Closed with monetary relief,true,No,2371616
2017-04-04,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,NJ,08902,,N/A,Referral,2017-04-05,Closed with explanation,true,No,2418794
2012-08-21,Mortgage,Other mortgage,Other,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11218,,N/A,Postal mail,2012-08-21,Closed with explanation,true,No,139273
2017-03-10,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,,,CARRINGTON MORTGAGE SERVICES,NJ,07747,,N/A,Referral,2017-03-14,Closed with explanation,true,No,2380778
2017-04-18,Other financial service,Check cashing,Customer service/Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",ME,04747,Older American,N/A,Referral,2017-04-19,Closed with explanation,true,No,2440513
2017-04-18,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,PA,191XX,,,Web,2017-04-18,Closed with non-monetary relief,true,No,2440285
2017-04-20,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY BANK,WA,25302,"Older American, Servicemember",N/A,Phone,2017-04-21,Closed with monetary relief,true,No,2444790
2017-04-20,Bank account or service,Checking account,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,NV,891XX,,,Web,2017-04-21,Closed with explanation,true,No,2444547
2017-04-19,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,PA,19422,,N/A,Postal mail,2017-04-19,Closed with explanation,true,No,2442270
2017-04-21,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"JH Portfolio Debt Equities, LLC",TX,752XX,,,Web,2017-04-21,Closed with explanation,true,No,2444577
2017-04-19,Credit card,,Transaction issue,,,,CAPITAL ONE FINANCIAL CORPORATION,MD,212XX,,,Web,2017-04-19,Closed with explanation,true,No,2441982
2017-04-20,Consumer Loan,Installment loan,Managing the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY BANK,TX,775XX,Servicemember,,Web,2017-04-21,Closed with non-monetary relief,true,No,2444123
2017-03-22,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,GA,30309,,N/A,Referral,2017-03-22,Closed with explanation,true,No,2399982
2017-03-06,Credit reporting,,Incorrect information on credit report,Account status,"XXXX has wrongfully placed an account in collections. XXXX has indicated that I owed {$1700.00} for water bills at XXXX. This is absolutely false. All of the bills were in good standing upon leaving. This company bulldogged and bullied me into leaving the property. They initiated an eviction on me when all of the rents were paid on time. Elite home management has placed this account in collection with National Credit Systems. I would like this account removed from collections immediately. Attached is full documentation that this account was paid in full. Additionally, XXXX kept my deposit. I would like to request my deposit be returned as I left the property in good standing and was NEVER late paying monthly rent. Please see all attached documentation. Furthermore, the claim that XXXX is stating I owe monies for a water bill is false. The amount started in XXXX of 2012. The account was never placed in my name and started with a balance of over {$700.00}! XXXX presented false documents to the court in order to have me evicted from the property. I 'm requesting that this is immediately removed from my credit report and handled outside of a credit reporting agency as these claims are false!",Company believes it acted appropriately as authorized by contract or law,"National Credit Systems,Inc.",GA,300XX,,Consent provided,Web,2017-03-08,Closed with explanation,true,No,2373228
2017-04-07,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,06484,,N/A,Referral,2017-04-07,Closed with monetary relief,true,No,2425815
2017-04-14,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Regarding PMI : we paid up front at closing to not have PMI on our mortgage with the understanding that it is cancelled at 80 % LTV ratio. Four years later when we reached 80 % Wells Fargo will start charging PMI until the LTV reaches 78 % or we pay about {$550.00} for a Wells Fargo appraisal to verify loan value has not diminished. Wells Fargo will not accept a property tax statement as proof of house value. Please help to make it allowable for Wells Fargo to accept a property tax statement as home value instead of demanding their service.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,750XX,,Consent provided,Web,2017-04-14,Closed with explanation,true,No,2436277
2017-04-21,Credit reporting,,Incorrect information on credit report,Public record,,,EXPERIAN DELAWARE GP,FL,34201,,,Web,2017-04-26,In progress,true,No,2446912
2017-03-04,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,PRESTIGE FINANCIAL SERVICES INC,IL,60653,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371938
2017-04-20,Credit card,,Other fee,,,Company believes complaint is the result of an isolated error,UNITED SERVICES AUTOMOBILE ASSOCIATION,TX,78727,,Consent not provided,Web,2017-04-20,Closed with monetary relief,true,No,2444855
2017-04-18,Consumer Loan,Vehicle loan,Taking out the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Westlake Services, LLC",CA,925XX,Older American,,Web,2017-04-18,Closed with explanation,true,No,2440401
2017-04-03,Credit reporting,,Incorrect information on credit report,Public record,,,"EQUIFAX, INC.",DC,20032,,,Web,2017-04-03,Closed with explanation,true,No,2417137
